id;placed_date;status;code;invoice_id;customer_id
1;2019-10-23T02:51:46;COMPLETED;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-10-23T07:41:29;CANCELLED;Frozen Analyst card;redundant;2
3;2019-10-23T03:14:24;CANCELLED;Chips;navigating;3
4;2019-10-22T17:02:12;CANCELLED;Optimized;microchip;4
5;2019-10-22T17:53:43;CANCELLED;e-markets system;Organic;5
6;2019-10-23T01:11:48;CANCELLED;leading-edge;Ergonomic Steel Gloves;6
7;2019-10-22T13:12:32;COMPLETED;online e-business;systems integrate;7
8;2019-10-22T18:57:34;CANCELLED;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-10-22T19:40:53;PENDING;North Carolina Granite;Somalia Web revolutionize;9
10;2019-10-22T10:40:17;PENDING;yellow;Books Generic;10
